var_orig,label_orig,type_orig,type_suggested,var_new,type_new,keep
men_id,Identifiant unique ménage,double,numeric,men_id,numeric,yes
A01,Région,string,factor,region,factor,yes
A02,Département,string,factor,departement,factor,yes
A03,Arrondissement/Ville,string,factor,A03,factor,no
A04,Commune,string,factor,commune,factor,yes
A06,Idenifiant du DR,string,character,A06,character,no
A08B,Nombre de ménage dans la concession,double,numeric,A08B,numeric,no
A09,Numéro du ménage,double,numeric,A09,numeric,no
A10,Milieu de résidence,double,factor,milieu_residence,factor,yes
A11,Type de ménage,double,factor,A11,factor,no
A11A,Type de ménage collectif,double,factor,A11A,factor,no
A11A_AUTRES,Autres types de ménages collectifs,string,character,A11A_AUTRES,character,no
E01,Type de logement,double,factor,E01,factor,no
E01_BIS,Type de Logement_recode,double,factor,E01_BIS,factor,no
E01_AUTRE,Préciser autre type de logement,string,character,E01_AUTRE,character,no
E02,Nombre de pieces à usage d'habitation,double,numeric,E02,numeric,no
E03A,Statut d'occupation,double,factor,E03A,factor,no
E03A_AUTRE,Préciser autre statut d'occupation,string,character,E03A_AUTRE,character,no
E03B,Type de titre de propriété,double,factor,E03B,factor,no
E03B_AUTRE,Autre type de titre de propriété,string,character,E03B_AUTRE,character,no
E04,Mode d'acquisition du logement,double,factor,E04,factor,no
E04_AUTRE,Préciser autre mode d'acquisition du logement,string,character,E04_AUTRE,character,no
E05,Nature du mur et revêtement du bâtiment principal,double,factor,E05,factor,no
E05_AUTRE,Préciser autre nature du mur,string,character,E05_AUTRE,character,no
E06,Nature du toit et revêtement du bâtiment principal,double,factor,E06,factor,no
E06_AUTRE,Préciser autre nature du toit,string,character,E06_AUTRE,character,no
E07,Nature du sol et revêtement du bâtiment principal,double,factor,E07,factor,no
E07_AUTRE,Préciser autre nature du sol,string,character,E07_AUTRE,character,no
E08A,Principal type d'aisance,double,factor,E08A,factor,no
E08A_AUTRE,Préciser autre type d'aisance,string,character,E08A_AUTRE,character,no
E08B,Partage des toilettes avec d'autres ménages,double,factor,E08B,factor,no
E09,Principal mode dapprovisionnement en eau,double,factor,E09,factor,no
E09_AUTRE,Préciser autre mode d'approvisionnement en eau,string,character,E09_AUTRE,character,no
E10,Doù provient principalement leau que boivent les membres de votre ménage ?,double,factor,E10,factor,no
E11,Principal mode déclairage,double,factor,E11,factor,no
E11_AUTRE,Préciser autre mode d'éclairage,string,character,E11_AUTRE,character,no
E12,Principal combustible pour la cuisson,double,factor,E12,factor,no
E12_AUTRE,Préciser autre combustible pour la cuisson,string,character,E12_AUTRE,character,no
E13_1,Radio,double,factor,E13_1,factor,no
E13_2,Téléviseur,double,factor,E13_2,factor,no
E13_3,Réfrig/congélat/frigo,double,factor,E13_3,factor,no
E13_4,Téléphone fixe,double,factor,E13_4,factor,no
E13_5,Téléphone mobile,double,factor,E13_5,factor,no
E13_6,Foyer amélioré moderne charbon,double,factor,E13_6,factor,no
E13_7,Foyer amélioré moderne bois,double,factor,E13_7,factor,no
E13_8,Foyer amélioré traditionnel charbon,double,factor,E13_8,factor,no
E13_9,Foyer amélioré traditionnel bois,double,factor,E13_9,factor,no
E13_10,Climatiseur,double,factor,E13_10,factor,no
E13_11,Machine à coudre,double,factor,E13_11,factor,no
E13_12,Ventilateur,double,factor,E13_12,factor,no
E13_13,"Abonnement/Connexion Internet (Cable ADSL, Box Wifi/Modem/Routeur, fibre optique,Forfait)",double,factor,E13_13,factor,no
E13_14,Ordinateur fixe/Ordinateur portable,double,factor,E13_14,factor,no
E13_15,Plaque solaire,double,factor,E13_15,factor,no
E13_16,Groupe électrogène,double,factor,E13_16,factor,no
E13_17,Fax,double,factor,E13_17,factor,no
E13_18,Fer à repasser électrique,double,factor,E13_18,factor,no
E13_19,Fer à repasser à charbon,double,factor,E13_19,factor,no
E13_20,Chauffe eau,double,factor,E13_20,factor,no
E13_21,Cuisinière,double,factor,E13_21,factor,no
E13_22,Machine à laver,double,factor,E13_22,factor,no
E13_23,Micro-onde,double,factor,E13_23,factor,no
E13_24,Bonbonne de gaz,double,factor,E13_24,factor,no
E14_1,Voiture,double,factor,E14_1,factor,no
E14_2,Mobylette/motocyclette,double,factor,E14_2,factor,no
E14_3,Bicyclette,double,factor,E14_3,factor,no
E14_4,Caléche/Charrette,double,factor,E14_4,factor,no
E14_5,Pirogue,double,factor,E14_5,factor,no
E14_6,A dos d'animaux,double,factor,E14_6,factor,no
E15_1,Houe/Charue,double,factor,E15_1,factor,no
E15_2,Semoir,double,factor,E15_2,factor,no
E15_3,Hilaire/Daba/Cadiandou,double,factor,E15_3,factor,no
E15_4,Caléche/Charrette,double,factor,E15_4,factor,no
E15_5,Animaux de trait,double,factor,E15_5,factor,no
E15_6,Tracteur,double,factor,E15_6,factor,no
E15_7,Voiture/Camion,double,factor,E15_7,factor,no
E15_8,Mobylette/motocyclette,double,factor,E15_8,factor,no
