var_orig,label_orig,type_orig,type_suggested,var_new,type_new,keep
men_id,Identifiant unique ménage,double,numeric,men_id,numeric,yes
A01,Région,string,factor,region,factor,yes
A02,Département,string,factor,departement,factor,yes
A03,Arrondissement/Ville,string,factor,A03,factor,no
A04,Commune,string,factor,commune,factor,yes
A06,Idenifiant du DR (nouveau),string,character,A06,character,no
A08B,Nombre de ménage dans la concession,double,numeric,A08B,numeric,no
A09,Numéro du ménage,double,numeric,A09,numeric,no
A10,Milieu de résidence,double,factor,milieu_residence,factor,yes
A11,Type de ménage,double,factor,A11,factor,no
A11A,Type de ménage collectif,double,factor,A11A,factor,no
A11A_AUTRES,Autres types de ménages collectifs,string,character,A11A_AUTRES,character,no
B01,Numéro D'ordre,double,factor,numind,factor,yes
B04,LIEN DE PARENTE AVEC LE CM,double,factor,lien_parente,factor,yes
B06,SEXE,double,factor,sexe,factor,yes
B07_A,DATE DE NAISSANCE (ANNEE),double,numeric,B07_A,numeric,no
B07_J,Jour de naissance,double,numeric,B07_J,numeric,no
B07_M,DATE DE NAISSANCE (MOIS),double,factor,B07_M,factor,no
B08,AGE,double,factor,age,factor,yes
B09,Lieu de naissance,double,factor,B09,factor,no
B09_COM,Commune DE NAISSANCE,string,factor,B09_COM,factor,no
B09_DEP,DEPARTEMENT DE NAISSANCE,string,factor,B09_DEP,factor,no
B09_REG,REGION DE NAISSANCE,string,factor,B09_REG,factor,no
B09_PAYS,Pays de naissance,string,factor,B09_PAYS,factor,no
B09_AUTRES_PRECISER,AUTRE LIEU NAISSANCE,double,numeric,B09_AUTRES_PRECISER,numeric,no
B10,Possession d'acte de naissance,double,factor,B10,factor,no
B11,SITUATION DE RESIDENCE,double,factor,B11,factor,no
B13,LIEU DE RESIDENCE IL Y A 5 ANS,string,factor,B13,factor,no
B13_DEP,DEPARTEMENT DE RESIDENCE IL Y A 5 ANS,string,factor,B13_DEP,factor,no
B13_REG,REGION DE RESIDENCE IL Y A 5 ANS,string,factor,B13_REG,factor,no
B13_PAYS,Pays de RESIDENCE IL Y A 5 ANS,string,factor,B13_PAYS,factor,no
B13_AUTRES_PRECISER,AUTRE LIEU IL Y'A 5 ANS,double,numeric,B13_AUTRES_PRECISER,numeric,no
B14,MOTIF DU DEPLACEMENT,double,factor,B14,factor,no
B14_AUTRES_PRECISER,AUTRE MOTIF DE DEPLACEMENT,string,character,B14_AUTRES_PRECISER,character,no
B15B,LIEU DE RESIDENCE il y a 1 ans,string,factor,B15B,factor,no
B15B_DEP,DEPARTEMENT DE RESIDENCE  il y a 1 ans,string,factor,B15B_DEP,factor,no
B15B_REG,REGION DE RESIDENCE  il y a 1 ans,string,factor,B15B_REG,factor,no
B15B_PAYS,Pays de RESIDENCE  il y a 1 ans,string,factor,B15B_PAYS,factor,no
B15B_AUTRES_PRECISER,AUTRE LIEU ANTERIEURE,double,numeric,B15B_AUTRES_PRECISER,numeric,no
B16,NATIONALITE,double,factor,B16,factor,no
B16_AUTRES_PRECISER,AUTRE NATIONALITE,string,character,B16_AUTRES_PRECISER,character,no
B17A,Langue de l'ethnie,double,factor,B17A,factor,no
B18,1ère langue parlée,double,factor,B18,factor,no
B18_AUTRES_PRECISER,AUTRE 1ERE LANGUE,string,character,B18_AUTRES_PRECISER,character,no
B19,2ème langue parlée,double,factor,B19,factor,no
B19_AUTRES_PRECISER,AUTRE 2EME LANGUE,string,character,B19_AUTRES_PRECISER,character,no
B21,"[NOM] a-t-il des difficultés à voir, même s'il porte des lunettes?",double,factor,B21,factor,no
B22,"[NOM] a-t-il la difficulté à entendre, même à l'aide d'une prothèse auditive?",double,factor,B22,factor,no
B23,[NOM] a-t-il des difficultés à marcher ou à monter des marches?,double,factor,B23,factor,no
B24,[NOM] a-t-il  du mal à se souvenir ou à se concentrer?,double,factor,B24,factor,no
B25,[NOM] a-t-il des difficultés (en prenant soin de lui-même) à effectuer des activ,double,factor,B25,factor,no
B26,"En utilisant sa langue habituelle (usuelle), [NOM] a-t-il des difficultés à comm",double,factor,B26,factor,no
B26A,[NOM] souffre -t-il de ?,string,character,B26A,character,no
B26A_1,Albinisme,double,factor,B26A_1,factor,no
B26A_2,Deficience_mentale,double,factor,B26A_2,factor,no
B26A_0,Aucun,double,factor,B26A_0,factor,no
B26A_3,Lepre,double,factor,B26A_3,factor,no
B26A_4,Diabete,double,factor,B26A_4,factor,no
B26A_5,Drepanocytose,double,factor,B26A_5,factor,no
B26A_6,Insuffisance_renale,double,factor,B26A_6,factor,no
B26A_7,Maladies_cardiovasculaires,double,factor,B26A_7,factor,no
B26A_8,Cancer,double,factor,B26A_8,factor,no
B26A_9,Epilepsie,double,factor,B26A_9,factor,no
B26A_10,Hemophilie,double,factor,B26A_10,factor,no
B26A_11,Asthme,double,factor,B26A_11,factor,no
B26A_12,Autisme,double,factor,B26A_12,factor,no
