var_name,code,label_init,label_new
region,10,KOLDA,KOLDA
region,01,DAKAR,DAKAR
region,11,MATAM,MATAM
region,02,ZIGUINCHOR,ZIGUINCHOR
region,12,KAFFRINE,KAFFRINE
region,03,DIOURBEL,DIOURBEL
region,13,KEDOUGOU,KEDOUGOU
region,04,SAINT-LOUIS,SAINT-LOUIS
region,14,SEDHIOU,SEDHIOU
region,05,TAMBACOUNDA,TAMBACOUNDA
region,06,KAOLACK,KAOLACK
region,07,THIES,THIES
region,08,LOUGA,LOUGA
region,09,FATICK,FATICK
departement,101,KOLDA,KOLDA
departement,011,DAKAR,DAKAR
departement,111,MATAM,MATAM
departement,021,BIGNONA,BIGNONA
departement,121,KAFFRINE,KAFFRINE
departement,031,BAMBEY,BAMBEY
departement,131,KEDOUGOU,KEDOUGOU
departement,041,DAGANA,DAGANA
departement,141,SEDHIOU,SEDHIOU
departement,051,BAKEL,BAKEL
departement,061,KAOLACK,KAOLACK
departement,071,MBOUR,MBOUR
departement,081,KEBEMER,KEBEMER
departement,091,FATICK,FATICK
departement,102,VELINGARA,VELINGARA
departement,012,PIKINE,PIKINE
departement,112,KANEL,KANEL
departement,022,OUSSOUYE,OUSSOUYE
departement,122,BIRKELANE,BIRKELANE
departement,032,DIOURBEL,DIOURBEL
departement,132,SALEMATA,SALEMATA
departement,042,PODOR,PODOR
departement,142,BOUNKILING,BOUNKILING
departement,052,TAMBACOUNDA,TAMBACOUNDA
departement,062,NIORO,NIORO
departement,072,THIES,THIES
departement,082,LINGUERE,LINGUERE
departement,092,FOUNDIOUGNE,FOUNDIOUGNE
departement,103,MEDINA YORO FOULAH,MEDINA YORO FOULAH
departement,013,RUFISQUE,RUFISQUE
departement,113,RANEROU,RANEROU
departement,023,ZIGUINCHOR,ZIGUINCHOR
departement,123,KOUNGHEUL,KOUNGHEUL
departement,033,MBACKE,MBACKE
departement,133,SARAYA,SARAYA
departement,043,SAINT-LOUIS,SAINT-LOUIS
departement,143,GOUDOMP,GOUDOMP
departement,053,GOUDIRY,GOUDIRY
departement,063,GUINGUINEO,GUINGUINEO
departement,073,TIVAOUANE,TIVAOUANE
departement,083,LOUGA,LOUGA
departement,093,GOSSAS,GOSSAS
departement,014,GUEDIAWAYE,GUEDIAWAYE
departement,124,MALEM HODDAR,MALEM HODDAR
departement,054,KOUMPENTOUM,KOUMPENTOUM
departement,015,KEUR MASSAR,KEUR MASSAR
commune,10110100,COM. KOLDA,COM. KOLDA
commune,11110100,COM .MATAM,COM .MATAM
commune,02110100,COM. BIGNONA,COM. BIGNONA
commune,12110100,COM. KAFFRINE,COM. KAFFRINE
commune,03110100,COM. BAMBEY,COM. BAMBEY
commune,13110100,COM .KEDOUGOU,COM .KEDOUGOU
commune,04110100,COM. DAGANA,COM. DAGANA
commune,14110100,COM. SEDHIOU,COM. SEDHIOU
commune,05110100,COM. BAKEL,COM. BAKEL
commune,06110100,COM. KAOLACK,COM. KAOLACK
commune,07110100,COM. JOAL-FADIOUTH,COM. JOAL-FADIOUTH
commune,08110100,COM. KEBEMER,COM. KEBEMER
commune,09110100,COM. FATICK,COM. FATICK
commune,10210100,COM. VELINGARA,COM. VELINGARA
commune,11210100,COM. KANEL,COM. KANEL
commune,02210100,COM. OUSSOUYE,COM. OUSSOUYE
commune,12210100,COM .BIRKELANE,COM .BIRKELANE
commune,03210100,COM. DIOURBEL,COM. DIOURBEL
commune,13210100,COM. SALEMATA,COM. SALEMATA
commune,04210100,COM. PODOR,COM. PODOR
commune,14210100,COM. BOUNKILING,COM. BOUNKILING
commune,05210100,COM. TAMBACOUNDA,COM. TAMBACOUNDA
commune,06210100,COM. NIORO,COM. NIORO
commune,07210100,COM. KHOMBOLE,COM. KHOMBOLE
commune,08210100,COM. LINGUERE,COM. LINGUERE
